Seed,Source corpus,Original requirement,Final capability text
S36404,2009_gg_WEB,"The spacecraft shall have the capability to handle all the telecommands received from ground, transmit them to the payload instrument and send back all acknowledgments for ground control.","handle all telecommands received from ground, transmit them to the payload instrument, and send back all acknowledgments for ground control"
S36535,2013_echo_mrd_WEB,"For design and analysis purposes, an average of 2 safe mode events of 2 days (plus recovery time) each per year shall be considered.",use an average of 2 safe mode events of 2 days plus recovery time each per year for design and analysis purposes
S36919,2015_due_web,The GBPS shall integrate the GB processors for retrieval.,integrate the GB processors for retrieval
S37331,2009_spica_srd_WEB,The SPICA telescope shall be an aperture as large as possible which is compatible with the launch fairing.,provide a SPICA telescope aperture as large as possible while remaining compatible with the launch fairing
S37725,2015_due_web,The structure shall allow to keep several versions of outputs at the same time.,allow several versions of outputs to be kept at the same time
S37805,2021_tmt_srd_WEB,The site shall have minimal seasonal temperature variations.,be located at a site with minimal seasonal temperature variations
S37977,2021_tmt_srd_WEB,The observatory shall observe anywhere on the sky from 1° to 65° zenith angle.,observe anywhere on the sky from 1° to 65° zenith angle
S38042,2015_due_web,The product generation module shall include a converter to derive AGB from GSV.,include a converter to derive AGB from GSV
S38085,2003_hp_ird_web,The procedures presented in the SUM shall be validated at S/C system and subsystem level testing.,validate the procedures presented in the SUM at S/C system and subsystem level testing
S38687,2021_tmt_ord_WEB,The TMT Observatory shall execute service observing on behalf of PIs from a combined list of observing blocks from all partners via a scheduling process over six month periods.,execute service observing on behalf of PIs from a combined list of observing blocks from all partners via a scheduling process over six month periods
S38831,2007_jwst_mrd_web,The operational JWST System shall be in continuous two-way communication from separation from the upper stage of the launch vehicle until the completion of Observatory Primary Mirror Phasing activities.,be in continuous two-way communication from separation from the upper stage of the launch vehicle until the completion of Observatory Primary Mirror Phasing activities
S38968,2021_jpss2_web,Milliseconds of day shall be an unsigned 32-bit integer of the number of milliseconds since midnight UTC of the current day.,represent milliseconds of day as an unsigned 32-bit integer equal to the number of milliseconds since midnight UTC of the current day
S39040,1998_grace_WEB,The KBR shall be designed to reject multipath from the satellite to better than -56 dB relative to the direct signal.,reject multipath from the satellite to better than -56 dB relative to the direct signal
